MOVIE NAME,DIRECTORS LIST,PRINCIPLE CAST LIST,CAST LIST
paddington 2,paul king,"ben miller,ben whishaw,brendan gleeson,daniel stisen,helena holmes,hugh bonneville,hugh grant,imelda staunton,jessica hynes,jim broadbent,julie walters,madeleine harris,marie-france alvarez,michael gambon,noah taylor,peter capaldi,richard ayoade,sally hawkins,samuel joslin","alex jordan,ben miller,ben whishaw,brendan gleeson,daniel stisen,deepak anand,emeson nwolie,helena holmes,hugh bonneville,hugh grant,imelda staunton,jackson kai,jag patel,jamie demetriou,jason wright,javone prince,jermaine humes,jessica hynes,jim broadbent,joanna lumley,julie walters,kobna holdbrook-smith,kya garwood,madeleine harris,marlonde pierre,nicholas woodeson,noah taylor,peter capaldi,richard ayoade,robbie gee,sally hawkins,samuel joslin,sanjeev bhaskar,tom davis"
the little mermaid,"john musker,ron clements","buddy hackett,christopher daniel barnes,edie mcclurg,jason marin,jodi benson,kenneth mars,paddi edwards,pat carroll,rené auberjonois,samuel e. wright","ben wright,debbie shapiro gravitte,hamilton camp,robert weil,will ryan"
city hall,frederick wiseman,marty walsh,
capote,bennett miller,"catherine keener,philip seymour hoffman","allie mickelson,andrew farago,bronwen coleman,chris cooper,craig archibald,david wilson barnes,kate shindle,kelci stephenson,ken krotowich,kwesi ameyaw,michael j. burg,r.d. reid,rob mclaughlin"
the death of stalin,armando iannucci,"adrian mcloughlin,andrea riseborough,jason isaacs,jeffrey tambor,jonathan aris,justin edwards,michael palin,olga kurylenko,paddy considine,paul ready,richard brake,roger ashton-griffiths,rupert friend,simon russell beale,steve buscemi,sylvestra le touzel,tom brooke,yulya muhrygina","alexandr piskunov,andrey korzhenevskiy,andy gathergood,cara horgan,dermot crowley,diana quick,jeremy limb,jonathan aris,justin edwards,nicholas woodeson,paul ready,paul whitehouse,roger ashton-griffiths,simon russell beale,sylvestra le touzel,tom brooke,yulya muhrygina"
miracle on 34th street,george seaton,"edmund gwenn,gene lockhart,jack albertson,jerome cowan,john payne,maureen o'hara,natalie wood,philip tonge,porter hall,william frawley","dorothy christy,harry antrim,kevin burke,lela bliss,walden boyle"
strangers on a train,alfred hitchcock,"farley granger,howard st. john,john brown,jonathan hale,kasey rogers,leo g. carroll,marion lorne,patricia hitchcock,robert walker,ruth roman","joel allen,monya andre,murray alper,norma varden,robert gist"
tulpan,sergei dvortsevoy,,"askhat kuchencherekov,bereke turganbayev,ondas besikbasov,samal esljamova,tolepbergen baisakalov"
manuscripts don't burn,mohammad rasoulof,,
in transit,"albert maysles,benjamin wu,david usui,lynn true,nelson walker iii",,
"three billboards outside ebbing, missouri",martin mcdonagh,"abbie cornish,alejandro barrios,caleb landry jones,clarke peters,darrell britt-gibson,frances mcdormand,jason redford,john hawkes,kathryn newton,kerry condon,lucas hedges,peter dinklage,riya may atwood,sam rockwell,samara weaving,woody harrelson,željko ivanek","abbie cornish,amanda mason warren,brendan sexton iii,caleb landry jones,clarke peters,frances mcdormand,john hawkes,kathryn newton,kerry condon,lucas hedges,malaya rivera drew,nick searcy,peter dinklage,sam rockwell,samara weaving,sandy martin,selah atwood,woody harrelson,željko ivanek"
quest,jonathan olshefski,"adia dillon,christine'a rainey,christopher rainey,david barnes,isaiah byrd,james blakely,nicole byrd,p.j. rainey,price,william withers","alfonso glenn,daniel moll,kevin v. kelley,meatball,tyrone moore"
au revoir les enfants,louis malle,"benoît henriet,francine racette,françois berléand,françois négret,gaspard manesse,pascal rivet,peter fitz,philippe morier-genoud,raphael fejtö,stanislas carré de malberg","arnaud henriet,jean-sébastien chauvin,luc etienne,richard leboeuf,xavier legrand"
a film unfinished,yael hersonski,"alexander beyer,rüdiger vogler","alexander beyer,rüdiger vogler"
things to come,mia hansen-løve,,"andré marcon,charline bourgeois-tacquet,edith scob,elise lhomeau,grégoire montana,guy-patrick sainderichin,isabelle huppert,larissa guist,lina benzerti,lionel dray,marion ploquin,rachel arditi,roman kolinka,sarah lepicard,solal forte,yves heck"
the grand budapest hotel,wes anderson,"adrien brody,bill murray,edward norton,f. murray abraham,harvey keitel,jeff goldblum,jude law,léa seydoux,mathieu amalric,ralph fiennes,saoirse ronan,willem dafoe","adrien brody,bill murray,bob balaban,edward norton,f. murray abraham,harvey keitel,jason schwartzman,jeff goldblum,jude law,léa seydoux,owen wilson,ralph fiennes,saoirse ronan,tilda swinton,tom wilkinson,willem dafoe"
winter sleep,nuri bilge ceylan,,"ayberk pekcan,demet akbag,ekrem ilhan,emirhan doruktutan,fatma deniz yildiz,haluk bilginer,mehmet ali nuroglu,melisa sözen,nadir saribacak,nejat isler,rabia özel,serhat mustafa kiliç,tamer levent"
a star is born,bradley cooper,"alec baldwin,andrew dice clay,anthony ramos,bonnie somerville,bradley cooper,d.j. 'shangela' pierce,dave chappelle,eddie griffin,greg grunberg,lady gaga,marlon williams,michael harney,rafi gavron,sam elliott,willam belli","amanda fields,andrew dice clay,andrew michaels,anthony ramos,barry shabaka henley,bonnie somerville,bradley cooper,brandi carlile,carlo sciortino,d.j. 'shangela' pierce,dave chappelle,eddie griffin,erik landreth,eunice chiweshe goldstein,gabe fazio,greg grunberg,jacob taylor,joseph kelly,lady gaga,lukas nelson,michael d. roberts,michael harney,presley cash,rafi gavron,rebecca field,ron rifkin,sam elliott,sean ayub,steven ciceron,willam belli"
citizenfour,laura poitras,"edward snowden,glenn greenwald","barack obama,edward snowden,ewen macaskill,glenn greenwald,jacob appelbaum,jeremy scahill,julian assange,kevin bankston,laura poitras,lindsay mills,william binney"
time out,laurent cantet,"aurélien recoing,karin viard","christophe charles,didier perez,elisabeth joinet,félix cantet,jean-pierre mangeot,marie cantet,maxime sassier,monique mangeot,nicolas kalsch,nigel palmer,olivier lejoubioux,philippe jouannet,serge livrozet"
the blue angel (re-release),josef von sternberg,"emil jannings,hans albers,kurt gerron,marlene dietrich,rosa valetti","carl balhaus,charles puffy,eduard von winterstein,gerhard bienert,hans roth,reinhold bernt,robert klein-lörk,roland varno,rolf müller,wilhelm diegelmann"
thelma & louise,ridley scott,"geena davis,susan sarandon","brad pitt,carol mansell,christopher mcdonald,harvey keitel,jason beghe,ken swofford,lucinda jenney,michael madsen,shelly desai,sonny carl davis,stephen polk,stephen tobolowsky,timothy carhart"
away from her,sarah polley,"gordon pinsent,julie christie","alberta watson,andrew moodie,carolyn hetherington,clare coulter,deanna dezmari,grace lynn kung,judy sinclair,lili francks,olympia dukakis,stacey laberge,thomas hauff,tom harvey,wendy crewson"
the fallen idol (re-release),carol reed,"michèle morgan,ralph richardson","bernard lee,bobby henrey,dandy nichols,denis o'dea,geoffrey keen,gerard heinz,jack hawkins,james hayter,joan young,karel stepanek,sonia dresdel,torin thatcher,walter fitzgerald"
fat city,john huston,"art aragon,billy walker,candy clark,curtis cokes,jeff bridges,nicholas colasanto,sixto rodriguez,stacy keach,susan tyrrell,wayne mahan","al silvani,álvaro lópez,bill riddle,carl d. parker,ruben navarro"
foxtrot,samuel maoz,"aryeh cherner,dekel adin,gefen barkai,lior ashkenazi,rami buzaglo,ran buxenbaum,sarah adler,shaul amir,shira haas,yehuda almagor,yonaton shiray","aryeh cherner,eden daniel,eden gmliel,ilia grosz,itay exlroad,yael eisenberg"
howards end,james ivory,"anthony hopkins,emma thompson","adrian ross magenty,helena bonham carter,ian latimer,james wilby,jemma redgrave,jo kendall,joseph bennett,mary nash,prunella scales,samuel west,siegbert prawer,susie lindeman,vanessa redgrave"
the innocents,jack clayton,"deborah kerr,peter wyngarde","clytie jessop,eric woodburn,isla cameron,martin stephens,megs jenkins,michael redgrave,pamela franklin"
inside job,charles ferguson,matt damon,matt damon
the father,florian zeller,"adnan kundi,anthony hopkins,evie wray,imogen poots,mark gatiss,olivia colman,olivia williams,ray burnet,rufus sewell",
leave no trace,debra granik,"alyssa lynn,ayanna berkshire,ben foster,dale dickey,dana millican,derek john drescher,erik mcglothlin,isaiah stone,jeff kober,jeffery rifflard,kyle stoltz,lane stiemsma,michael draper,peter james deluca,peter simpson,ryan joiner,thomasin mckenzie","alyssa lynn,art hickman,bob werfelman,david pittman,eric sahlstrom,jeff kober,jeffery rifflard,kyle stoltz,lane stiemsma,michael j. prosser,peter simpson,sabina mach,spencer s. hanley,stephanie barton-farcas,tamera westlake,thomasin mckenzie,tony ruiz,zack leary"
three colors: white,krzysztof kieslowski,"julie delpy,zbigniew zamachowski","aleksander bardini,barbara dziekan,cezary harasimowicz,cezary pazura,francis coffinet,grzegorz warchol,janusz gajos,jerzy nowak,jerzy stuhr,jerzy trela,michel lisowski,philippe morier-genoud,piotr machalica"
chicken run,"nick park,peter lord","julia sawalha,mel gibson","benjamin whitrow,imelda staunton,jane horrocks,jo allen,john sharian,laura strachan,lisa kay,lynn ferguson,miranda richardson,penélope cruz,phil daniels,timothy spall,tony haygarth"
the king's speech,tom hooper,"colin firth,geoffrey rush,helena bonham carter","anthony andrews,calum gittins,derek jacobi,dominic applewhite,eve best,filippo delaunay,freya wilson,guy pearce,harry sims,jennifer ehle,max callum,michael gambon,tim downie,timothy spall"
hell or high water,david mackenzie,,"alma sisneros,amber midthunder,ben foster,buck taylor,chris pine,crystal gonzales,dale dickey,dylan kenin,gil birmingham,gregory cruz,howard ferguson jr.,j. nathan simmons,jackamoe buzzell,jeff bridges,joe berryman,john-paul howard,katy mixon,keith meriweather,kevin rankin,kristin berg,lora martinez-cunningham,marin ireland,melanie papalia,ricky lee,taylor sheridan,william sterchi"
up,"bob peterson,pete docter","edward asner,john ratzenberger,jordan nagai","bob peterson,christopher plummer,danny mann,david kaye,delroy lindo,donald fullilove,elie docter,jeremy leary,jerome ranft,jess harnell,josh cooley,mickie mcgowan"
shirkers,sandi tan,"ben harrison,georges cardona,grace dane mazur,jasmine kin kia ng,philip cheah,sandi tan,sophia siddique harvey,stephen tyler",
mildred pierce,michael curtiz,"ann blyth,bruce bennett,eve arden,jack carson,jo ann marlowe,joan crawford,lee patrick,moroni olsen,veda ann borg,zachary scott","betty alexander,bill alcorn,george anderson,james anderson,ramsay ames"
45365,"bill ross iv,turner ross",,
tootsie,sydney pollack,dustin hoffman,"bill murray,charles durning,dabney coleman,debra mooney,doris belack,ellen foley,geena davis,george gaynes,jessica lange,lynne thigpen,peter gatto,ronald l. schwary,sydney pollack,teri garr"
marooned in iraq,bahman ghobadi,,"allah-morad rashtian,bahram sarbazi,faegh mohamadi,fathollah sa'edi,hossein rashid-ghamat,iran ghobadi,mariam pouyani,rojan hosseini,saeed mohammadi,shahab ebrahimi"
to kill a mockingbird,robert mulligan,gregory peck,"alice ghostley,brock peters,collin wilcox paxton,crahan denton,estelle evans,frank overton,james anderson,john megna,paul fix,richard hale,robert duvall,rosemary murphy,ruth white,william windom"
aquarius,kleber mendonça filho,,"barbara colen,buda lira,carla ribas,daniel porpino,fernando teixeira,germano melo,humberto carrão,irandhir santos,julia bernat,maeve jinkings,paula de renor,pedro queiroz,rubens santos,sônia braga,taylor moore silzer,thaia perez,zoraide coleto"
"so long, my son",xiaoshuai wang,"cheng xu,jiang du,jingjing li,liya ai,mei yong,roy wang,wang jinchun,xi qi,zhao-yan guo-zhang",
apollo 11,todd douglas miller,"buzz aldrin,charles duke,clifford e. charlesworth,jack benny,janet armstrong,joan ann archer,johnny carson,michael collins,neil armstrong,walter cronkite","bruce mccandless ii,charles duke,gene kranz,glynn lunney,jim lovell,lyndon johnson"
anomalisa,"charlie kaufman,duke johnson","david thewlis,jennifer jason leigh,tom noonan","david thewlis,jennifer jason leigh,tom noonan"
toy story 2,"ash brannon,john lasseter,lee unkrich","tim allen,tom hanks","annie potts,don rickles,estelle harris,jim varney,joan cusack,jodi benson,joe ranft,john morris,john ratzenberger,kelsey grammer,laurie metcalf,wallace shawn,wayne knight"
black panther,ryan coogler,"andy serkis,angela bassett,chadwick boseman,danai gurira,daniel kaluuya,forest whitaker,letitia wright,lupita nyong'o,martin freeman,michael b. jordan,stan lee,sterling k. brown,winston duke","andy serkis,angela bassett,atandwa kani,bambadjan bamba,cecil m. henry,chadwick boseman,danai gurira,daniel kaluuya,david s. lee,florence kasumba,forest whitaker,isaach de bankolé,jeremy sample,john kani,letitia wright,lupita nyong'o,martin freeman,michael b. jordan,michael david yuhl,phylicia rashad,sebastian stan,stan lee,sterling k. brown,sydelle noel,winston duke"
brooklyn,john crowley,"jim broadbent,julie walters,saoirse ronan","aine ni mhuiri,alisha heng,alisha reis,barbara drennan,brid brennan,domhnall gleeson,eileen o'higgins,emily bett rickards,emma lowe,emory cohen,eva birthistle,eve macklin,fiona glascott,gillian mccarthy,hugh gormley,james corscadden,jane brennan,jenn murray,jim broadbent,julie walters,karen belfo,maeve mcgrath,mary o'driscoll,matt glynn,michael zegen,nora-jane noone,paulino nuñes,peter campion,saoirse ronan"
nobody knows,hirokazu koreeda,"ayu kitaura,hiei kimura,momoko shimizu,yûya yagira","hanae kan,kazuyoshi kushida,ken'ichi endô,ryo kase,sei hiraizumi,susumu terajima,takako tate,you,yûichi kimura,yukiko okamoto"
life is sweet,mike leigh,"alison steadman,jim broadbent","claire skinner,david neilson,david thewlis,harriet thorpe,jack thorpe-baker,jane horrocks,moya brady,paul trussel,stephen rea,timothy spall"
faces,john cassavetes,"darlene conley,dorothy gulliver,fred draper,gena rowlands,gene darfler,joanne moore jordan,john marley,lynn carlin,seymour cassel,val avery","anita white,ann shirley,dave mazzie,elizabeth deering,julie gambol"
mary poppins,robert stevenson,"dick van dyke,julie andrews","arthur malet,arthur treacher,david tomlinson,ed wynn,elsa lanchester,glynis johns,hermione baddeley,james logan,jane darwell,karen dotrice,matthew garber,reginald owen,reta shaw"
the lord of the rings: the two towers,peter jackson,andy serkis,"bernard hill,billy boyd,brad dourif,bruce allpress,bruce hopkins,calum gittins,cate blanchett,christopher lee,ian mckellen,jed brophy,john bach,orlando bloom,paris howe strewe,sala baker,sam comery,sean astin"
l'enfant (the child),"jean-pierre dardenne,luc dardenne","déborah françois,jérémie renier","anne gerard,bernard marbaix,delphine tomson,fabrizio rongione,françois olivier,frédéric bodson,jean-claude boniverd,jérémie segard,leon michaux,marie-rose roland,olivier gourmet,samuel de ryck,stéphane marsin"
sweet country,warwick thornton,"anni finsterer,bryan brown,ewen leslie,gibson john,hamilton morris,lachlan j. modrzynski,matt day,natassia gorey furber,sam neill,tremayne doolan,trevon doolan","sam neill,sotiris tzelios,thomas m. wright"
jane fonda in five acts,susan lacy,"dick cavett,jane fonda,lily tomlin,mary luana williams,nathalie vadim,paula weinstein,richard nixon,robert redford,ted turner,tom hayden,troy garity",mary luana williams
newtown,kim a. snyder,,
poetry,chang-dong lee,,"da-wit lee,hira kim,jeong-hie yun,nae-sang ahn,yong-taek kim"
restless creature: wendy whelan,"adam schlesinger,linda saffire",wendy whelan,wendy whelan
birdman or (the unexpected virtue of ignorance),alejandro gonzález iñárritu,"amy ryan,andrea riseborough,edward norton,emma stone,michael keaton,naomi watts,zach galifianakis","akira ito,amy ryan,and palladino,andrea riseborough,anna hardwick,benjamin kanes,bill camp,bomber hurley-smith,carrie ormond,clark middleton,damian young,david fierro,david itchkawitz,dusan dukic,edward norton,emma stone,jamahl garrison-lowe,jeremy shamos,joel garland,katherine o'sullivan,keenan shimizu,kelli wilcoxen,kelly southerland,kenny chin,lindsay duncan,marian volk,merritt wever,michael keaton,naomi watts,natalie gold,paula blum,raymond mamrak,stefanie bari,stefano villabona,teena byrd,zach galifianakis"
little women,gillian armstrong,"claire danes,kirsten dunst,susan sarandon,winona ryder","christian bale,corrie clark,eric stoltz,florence patterson,gabriel byrne,john neville,mary wickes,rebecca toolan,robin collins,samantha mathis,trini alvarado"
shakespeare in love,john madden,"geoffrey rush,joseph fiennes","antony sher,bridget mcconnell,georgie glen,judi dench,martin clunes,nicholas boulton,patrick barlow,sandra reinton,simon callow,steven beard,steven o'donnell,tim mcmullan,tom wilkinson"
the awful truth,leo mccarey,"alexander d'arcy,cary grant,cecil cunningham,esther dale,irene dunne,joyce compton,molly lamont,ralph bellamy,robert allen,robert warwick","al bridge,claud allister,mary forbes,ruth cherrington,wyn cahoon"
can you ever forgive me?,marielle heller,"alice kremelberg,anna deavere smith,ben falcone,christian navarro,dolly wells,erik laray harvey,gregory korostishevsky,jane curtin,jennifer westfeldt,joanna adler,julie ann emery,marc evan jackson,melissa mccarthy,michael cyril creighton,pun bandhu,richard e. grant,shae d'lyn,stephen spinella","alice kremelberg,anna deavere smith,anne hollister,ben rauch,brandon scott jones,dolly wells,joanna adler,kevin carolan,marc evan jackson,marcus choi,mary b. mccann,michael cyril creighton,michael laurence,moisés acevedo,rosal colon,shae d'lyn,stephen spinella,tiffany blair"
wolfwalkers,"ross stewart,tomm moore","amy dunne,eva whittaker,honor kneafsey,john morton,jon kenny,maria doyle kennedy,niamh moyles,nora twomey,oliver mcgrath,paul young,sean bean,simon mcburney,tommy tiernan","ben andrews,gilly fogg,jerome burelbach,jon kenny,michael mcgrath,niamh moyles,nora twomey,oliver mcgrath,paul young,vince drews"
it happened one night,frank capra,"alan hale,arthur hoyt,blanche friderici,charles c. wilson,clark gable,claudette colbert,ernie adams,jameson thomas,roscoe karns,walter connolly","harry c. bradley,irving bacon,jessie arnold,ward bond,william bailey"
the body remembers when the world broke open,"elle-máijá tailfeathers,kathleen hepburn","aidan dee,anthony bolognese,barbara eve harris,charlie hannah,elle-máijá tailfeathers,james angus cowan,jay cardinal villeneuve,sonny surowiec,tony massil,violet nelson","anesha bailey,charles jarman,glenn cho,joan boisjoly,paul jarrett"
the missing picture,rithy panh,,randal douc
"i travel because i have to, i come back because i love you","karim ainouz,marcelo gomes",,irandhir santos
the invisible man,james whale,"claude rains,dudley digges,e.e. clive,forrester harvey,gloria stuart,harry stubbs,henry travers,holmes herbert,una o'connor,william harrigan","donald stuart,merle tottenham,robert adair,ted billings,walter brennan"
scarface,"howard hawks,richard rosson","ann dvorak,boris karloff,c. henry gordon,george raft,karen morley,osgood perkins,paul muni,purnell pratt,tully marshall,vince barnett","edwin maxwell,eugenie besserer,gus arnheim,henry armetta,inez palange"
of men and war,laurent bécue-renard,,
the long goodbye,robert altman,"david arkin,elliott gould,henry gibson,jim bouton,jo ann brody,mark rydell,nina van pallandt,stephen coit,sterling hayden,warren berlinger","enrique lucero,jack knight,pancho córdova,pepe callahan,vincent palmieri"
imitation of life,douglas sirk,"dan o'herlihy,john gavin,john vivyan,juanita moore,karin dicker,lana turner,robert alda,sandra dee,susan kohner,terry burnham","ann robinson,david tomack,lee goodman,sandra gould,troy donahue"
pain and glory,pedro almodóvar,"agustín almodóvar,antonio banderas,asier etxeandia,asier flores,cecilia roth,césar vicente,eva martín,julián lópez,julieta serrano,leonardo sbaraglia,nora navas,penélope cruz,raúl arévalo,rosalía,susi sánchez","agustín almodóvar,alba garcía,césar vicente,eva martín,julián lópez,pedro casablanc,raúl arévalo,sara sierra,susi sánchez"
genèse (genesis),philippe lesage,"antoine marchand gagnon,ariane l'heureux,brett dier,émile bilodeau,emilie bierre,étienne galloy,marc beaupré,marie jasmina,noée abita,paul ahmarani,pier-luc funk","ariane l'heureux,guillaume laurin,jean-simon leduc,mylène mackay,noémi lira,tayna v. lavoie"
the farthest,emer reynolds,"carolyn porco,charley kohlhase,edward stone,fran bagenal,frank drake,john casani,larry soderblom,lawrence krauss,nick sagan,timothy ferris","frank locatell,heidi hammel,james f. bell,jon lomberg,suzanne dodd"
gomorrah,matteo garrone,"gianfelice imparato,salvatore abruzzese,toni servillo","angelo aliberti,antonio aiello,antonio amato,carmine paternoster,ciro petrone,denis bajrami,dora angelone,gigio morra,marco macor,maria nazionale,salvatore cantalupo,vincenzo altamura"
