MOVIE NAME,DIRECTORS LIST,PRINCIPLE CAST LIST,CAST LIST
moonlight,barry jenkins,"alex r. hibbert,ashton sanders,duan sanderson,herman 'caheei mcgloun,jaden piner,janelle monáe,mahershala ali,naomie harris,shariff earp","alex r. hibbert,andre holland,ashton sanders,duan 'sandy' sanderson,duan sanderson,duan'sandy' sanderson,eddie blanchard,edson jean,herman 'caheei mcgloun,jaden piner,janelle monáe,jharrel jerome,kamal ani-bellow,keomi givens,larry anderson,mahershala ali,naomie harris,patrick decile,rudi goblen,rudi goblin,shariff earp,stephon bron,tanisha cidel,trevante rhodes"
intolerance,d.w. griffith,lillian gish,"dore davidson,edward dillon,elmer clifton,frank bennett,josephine crowell,lucille browne,mary alden,miriam cooper,monte blue,pearl elmore,sam de grasse,spottiswoode aitken,taylor n. duncan,william h. brown"
pinocchio,"ben sharpsteen,bill roberts,hamilton luske,jack kinney,norman ferguson,t. hee,wilfred jackson","charles judels,cliff edwards,dickie jones,don brodie,frankie darro,marion darlington,mel blanc,stuart buchanan,walter catlett","clarence nash,jack mercer,john mcleish,mae questel,patricia page,thurl ravenscroft"
touch of evil,orson welles,"akim tamiroff,charlton heston,dennis weaver,janet leigh,joanna moore,joseph calleia,mort mills,orson welles,ray collins,valentin de vargas","joi lansing,lalo rios,michael sargent,phil harvey,victor millan"
the lady vanishes,alfred hitchcock,"basil radford,cecil parker,dame may whitty,emile boreo,linden travers,margaret lockwood,mary clare,michael redgrave,naunton wayne,paul lukas","catherine lacey,googie withers,philip leaver,sally stewart,selma vaz dias"
the treasure of the sierra madre,john huston,"alfonso bedoya,arturo soto rangel,barton maclane,bruce bennett,humphrey bogart,josé torvay,manuel dondé,margarito luna,tim holt,walter huston","guillermo calles,jacqueline dalya,robert blake,roberto cañedo,spencer chan"
pan's labyrinth,guillermo del toro,"ariadna gil,ivana baquero,sergi lópez","álex angulo,césar vea,doug jones,eusebio lázaro,francisco vidal,gonzalo uriarte,ivan massagué,juanjo cucalón,lina mira,manolo solo,maribel verdú,roger casamajor"
some like it hot,billy wilder,"billy gray,george e. stone,george raft,jack lemmon,joan shawlee,joe e. brown,marilyn monroe,nehemiah persoff,pat o'brien,tony curtis","barbara drew,beverly wills,dave barry,harry wilson,mike mazurki"
north by northwest,alfred hitchcock,"adam williams,cary grant,edward platt,eva marie saint,james mason,jessie royce landis,josephine hutchinson,leo g. carroll,martin landau,philip ober","edward binns,les tremayne,patrick mcvey,philip coolidge,robert ellenstein"
hoop dreams,steve james,"arthur agee,william gates","aretha mitchell,arthur 'bo' agee,bill gleason,curtis gates,earl smith,emma gates,gene pingatore,isiah thomas,luther bedford,marjorie heard,marlyn hopewell,patricia weir,sheila agee"
